# timestamp_grid lon_SD_grid lat_SD_grid taux_c_SD_grid tauy_c_SD_grid ucur_SD_grid[:,iz] vcur_SD_grid[:,iz] ucur_SD_grid_bp[:,iz] vcur_SD_grid_bp[:,iz] tau_dot_sfcvel_SD energy_input_SD
1.694032200000000000e+09 -6.589404159999999422e+01 1.995061439999999919e+01 -1.742874872692501062e-02 2.702461784948861565e-02 -3.440000000000000568e+01 1.319999999999998863e+01 -6.052693527750817815e+00 -5.220858130263810182e-01 9.562739118194699475e-03 3.373283636294439134e+02
1.694032800000000000e+09 -6.589381760000000554e+01 1.995374079999999850e+01 -1.355652145905343088e-02 1.660434586735046875e-02 -3.690000000000001990e+01 1.339999999999998970e+01 -5.960345316777523550e+00 -3.624611771492372569e-01 7.227338764615679617e-03 3.423653869942870074e+02
1.694033400000000000e+09 -6.589381760000000554e+01 1.995673760000000030e+01 -1.443889071336532277e-02 2.339550209066926234e-02 -3.505000000000000426e+01 1.079999999999999716e+01 -5.862379843971415205e+00 -2.017674019087849213e-01 7.587545420826825870e-03 3.468098522499197429e+02
1.694034000000000000e+09 -6.589389439999999354e+01 1.995963360000000009e+01 -1.773247048302737175e-02 2.374250728327874024e-02 -3.319999999999998863e+01 8.200000000000006395e+00 -5.758895318406630714e+00 -4.016862495994637933e-02 7.834065797593943448e-03 3.514363356154459552e+02
1.694034600000000000e+09 -6.589361920000000339e+01 1.996259039999999985e+01 -1.198787096570615336e-02 1.593727787286297604e-02 -3.534999999999999432e+01 9.750000000000003553e+00 -5.649995651643473948e+00 1.221693723133913806e-01 5.791596978981264528e-03 3.555240344484184902e+02
1.694035200000000000e+09 -6.589394559999999501e+01 1.996525760000000105e+01 -1.884294715232413125e-02 2.220796214905893656e-02 -3.750000000000000000e+01 1.129999999999999893e+01 -5.535790343643060218e+00 2.850793120287566929e-01 9.575604904965208386e-03 3.601341950136024366e+02
1.694035800000000000e+09 -6.589433599999999558e+01 1.996791199999999833e+01 -1.715028799304474730e-02 1.643984347361412968e-02 -3.789999999999999858e+01 1.045000000000000284e+01 -5.416394396344689000e+00 4.483926067868861387e-01 8.217922792356635933e-03 3.654722533227989629e+02
1.694036400000000000e+09 -6.589465599999999768e+01 1.997066239999999837e+01 -1.604758875817098931e-02 2.008788157999563673e-02 -3.829999999999999716e+01 9.600000000000008527e+00 -5.291928238119322891e+00 6.119395622323211548e-01 8.074663126059072188e-03 3.703600290983238210e+02
1.694037000000000000e+09 -6.589488640000000430e+01 1.997326879999999960e+01 -1.161854695910353313e-02 1.603628258519379512e-02 -3.925000000000000711e+01 1.285000000000000497e+01 -5.162517630837192506e+00 7.755495701123140684e-01 6.620941993645541694e-03 3.747687106342352195e+02
1.694037600000000000e+09 -6.589541119999999808e+01 1.997586559999999878e+01 -1.117968483039773545e-02 1.145489095414844657e-02 -4.020000000000001705e+01 1.610000000000000142e+01 -5.028293561708928827e+00 9.390513160274462923e-01 6.338470745437791050e-03 3.786565344559602408e+02
1.694038200000000000e+09 -6.589600640000000453e+01 1.997849599999999981e+01 -1.688836250379081860e-02 1.350664609701558369e-02 -3.990000000000000568e+01 1.580000000000000249e+01 -4.889392129555132804e+00 1.102273023935715690e+00 8.872506722341000004e-03 3.832198276962938621e+02
1.694038800000000000e+09 -6.589681919999999593e+01 1.998103040000000163e+01 -1.197826570161346880e-02 8.904547740736885528e-03 -3.959999999999999432e+01 1.550000000000000355e+01 -4.745954419697807403e+00 1.265042705943457690e+00 6.123598117653150305e-03 3.877186591482920903e+02
1.694039400000000000e+09 -6.589751680000000533e+01 1.998342399999999941e+01 -1.210810463180198027e-02 8.880011222231479900e-03 -3.724999999999998579e+01 1.450000000000000178e+01 -4.598126355849602831e+00 1.427188379012475972e+00 5.797870602569801454e-03 3.912950997643589517e+02
1.694040000000000000e+09 -6.589816319999999905e+01 1.998576639999999927e+01 -7.985197367578666591e-03 9.482678996532108162e-03 -3.489999999999997726e+01 1.350000000000000000e+01 -4.446058521227669758e+00 1.588538249961934268e+00 4.066995545816787933e-03 3.942545596088749562e+02
1.694040600000000000e+09 -6.589845760000000041e+01 1.998826880000000017e+01 -1.497840333033142145e-02 1.364003357414087306e-02 -3.414999999999999147e+01 1.530000000000000249e+01 -4.289905951509968673e+00 1.748920891307313763e+00 7.202049874151733068e-03 3.976352732348655081e+02
1.694041200000000000e+09 -6.589857920000000036e+01 1.999114559999999940e+01 -1.046869857785825801e-02 1.846325123103573218e-02 -3.340000000000000568e+01 1.710000000000000497e+01 -4.129827919140012682e+00 1.908165432969058939e+00 6.653761285511769832e-03 4.017920165827645747e+02
